5, 50
6, 35
7, 30
8, 44
9, 39
10, 35
11, 69
12, 52
13, 43
14, 42
15, 74
16, 72
17, 50
18, 47
19, 52
20, 53
21, 73
22, 115
23, 70
24, 60
25, 78
26, 64
27, 65
28, 90
29, 94
30, 94
31, 91
32, 95
33, 97
34, 103
35, 103
36, 103
37, 110
38, 115
39, 119
40, 114
41, 135
42, 124
43, 124
44, 127
45, 132
46, 136
47, 132
48, 132
49, 137
50, 150
51, 142
52, 150
53, 152
54, 154
55, 155
56, 171
57, 156
58, 160
59, 167
60, 171
61, 174
62, 182
63, 170
64, 184
65, 182
66, 183
67, 183
68, 192
69, 180
70, 193
71, 189
72, 195
73, 196
74, 206
75, 204
76, 211
77, 206
78, 214
79, 209
80, 210
81, 220
82, 220
83, 227
84, 227
85, 223
86, 233
87, 234
88, 239
89, 237
90, 240
91, 240
92, 240
93, 241
94, 248
95, 252
96, 258
97, 262
98, 259
99, 267
100, 268
